asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
61,20164.4199219,ADM2,61,61,DOM,DOM-ADM2-62336421B73173831,Imbert,ADM2
62,9542.09667969,ADM2,62,62,DOM,DOM-ADM2-62336421B38325088,La Ciénaga,ADM2
63,7837.76904297,ADM2,63,63,DOM,DOM-ADM2-62336421B14853515,Los Ríos,ADM2
64,18423.7832031,ADM2,64,64,DOM,DOM-ADM2-62336421B78011927,Padre Las Casas,ADM2
65,17131.6464844,ADM2,65,65,DOM,DOM-ADM2-62336421B74605063,Paraíso,ADM2
66,121343.21875,ADM2,66,66,DOM,DOM-ADM2-62336421B97197265,Pedro Brand,ADM2
67,20524.1660156,ADM2,67,67,DOM,DOM-ADM2-62336421B39354676,Peralta,ADM2
68,8968.29101562,ADM2,68,68,DOM,DOM-ADM2-62336421B95502648,Postrer Río,ADM2
69,12456.9794922,ADM2,69,69,DOM,DOM-ADM2-62336421B60282341,Pueblo Viejo,ADM2
70,20221.8964844,ADM2,70,70,DOM,DOM-ADM2-62336421B13638224,Sabana Grande de Palenque,ADM2
71,134882.75,ADM2,71,71,DOM,DOM-ADM2-62336421B57896719,San Juan,ADM2
72,267628.75,ADM2,72,72,DOM,DOM-ADM2-62336421B73103501,San Pedro De Macorís,ADM2
73,36851.96875,ADM2,73,73,DOM,DOM-ADM2-62336421B26395262,San Rafael Del Yuma,ADM2
74,1105142.5,ADM2,74,74,DOM,DOM-ADM2-62336421B7640444,Santo Domingo De Guzmán,ADM2
75,90538.828125,ADM2,75,75,DOM,DOM-ADM2-62336421B89891078,Villa Altagracia,ADM2
76,100111.375,ADM2,76,76,DOM,DOM-ADM2-62336421B89520614,Azua,ADM2
77,7140.87646484,ADM2,77,77,DOM,DOM-ADM2-62336421B83190598,Sabana Larga,ADM2
78,22537.0429688,ADM2,78,78,DOM,DOM-ADM2-62336421B48046812,Sánchez,ADM2
79,40363.8046875,ADM2,79,79,DOM,DOM-ADM2-62336421B11979084,San José De Las Matas,ADM2
80,16352.2871094,ADM2,80,80,DOM,DOM-ADM2-62336421B50144406,Luperón,ADM2
81,34839.1132812,ADM2,81,81,DOM,DOM-ADM2-62336421B38035103,Comendador,ADM2
82,25834.8945312,ADM2,82,82,DOM,DOM-ADM2-62336421B17408360,Los Llanos,ADM2
83,29613.4414062,ADM2,83,83,DOM,DOM-ADM2-62336421B92945485,Piedra Blanca,ADM2
84,114467.460938,ADM2,84,84,DOM,DOM-ADM2-62336421B79374458,Guayubín,ADM2
85,1142076.75,ADM2,85,85,DOM,DOM-ADM2-62336421B47352128,Santo Domingo Este,ADM2
86,878440.3125,ADM2,86,86,DOM,DOM-ADM2-62336421B62806346,Santo Domingo Norte,ADM2
87,481717.8125,ADM2,87,87,DOM,DOM-ADM2-62336421B75498294,Santo Domingo Oeste,ADM2
88,15364.9345703,ADM2,88,88,DOM,DOM-ADM2-62336421B21452693,Villa Vásquez,ADM2
89,5092.22070312,ADM2,89,89,DOM,DOM-ADM2-62336421B59188244,Estebanía,ADM2
